url,type
www.marketing.blindadocodec.com/link.php?M=78506&amp;N=3&amp;L=1&amp;F=H,benign
http://olx.pl/i2/muzyka-edukacja/kursy-warsztaty/kursy-zawodowe/muzyka-edukacja/kursy-warsztaty/kursy-zawodowe,benign
http://correios.com.br/Para-governo/orgaos-de-transito/encomendas/encomendas-internacionais,benign
genealogytrails.com/wis/WisWWIIHonorRoll1941-1945pg03.html,benign
http://www.xlcrengineering.co.uk/index.html,defacement
newswire.ca/en/story/352099/ivanhoe-cambridge-acquires-deerfoot-meadows-in-calgary-alberta,benign
1968topps.blogspot.com/,benign
http://tinnhanh360.net/qua-phat-goc-cua-thien-tai-tuyet-dung-ca-hang-phong-ngu-thai-lan-dung-nhu-tuong.html,benign
https://apbfiber.com/openme/90212345.exe,malware
http://foroalcazares.com/index.php/noticias/168-videoclip-de-los-alcazares,defacement
turkishclass.com/forumTitle_12748,benign
en.wikipedia.org/wiki/1985_United_States-Canadian_tornado_outbreak,benign
lyrics007.com/Reggie%20And%20The%20Full%20Effect%20Lyrics/Your%20Bleeding%20Heart%20Lyrics.html,benign
espn.go.com/mens-college-basketball/team/schedule/_/id/2294/iowa-hawkeyes,benign
youtube.com/watch?v=S4Dqg5ypfyA,benign
query.nytimes.com/gst/abstract.html?res=9805E4DF1430EE34BC4F51DFB0668383679FDE,benign
http://serverfault.com/questions/679624/setting-up-squid-transparent-proxy-on-a-machine-separate-from-the-router,benign
rockeyez.com/reviews/cd/rob_rock/rev-holy_hell.html,benign
basketball.about.com/od/coaches/p/bill-self.htm,benign
espn.go.com/nhl/team/_/name/min/minnesota-wild,benign
http://jezebel.com/principal-makes-racist-comment-claims-the-devil-was-in-1703870706,benign
answers.yahoo.com/question/index?qid=20111115120525AAFJkol,benign
http://xhamster.com/movies/4572712/licking_pussy_fuck_and_facial_cumshot_for_czech_redhead.html,benign
http://45.14.150.19/mipsel,malware
vangoghdesigns.com/,benign
http://jmrsl.net/index.php?option=com_content&view=article&id=24&Itemid=105,defacement
chase.com/online/Checking/chase-checking-account.htm,benign
bestgore.com/murder/robert-andrew-berdella-kansas-city-butcher/,benign
genforum.genealogy.com/leroux/,benign
rubicon-sales.com/,benign
web2.userinstinct.com/37532422-route-857-service.htm,benign
famousquotesabout.com/by/Dr.-Hans-Selye,benign
http://www.disline.es/prensa/53-bienvenido-a-todos.html,defacement
allmusic.com/artist/a-silver-mt-zion-p419583/discography,benign
http://www.ppbenalmadena.es/index.html,defacement
tibiapacc.galeon.com/,benign
http://www.werderfan-fahrten.de/index.php?option=com_phocagallery&view=detail&catid=5:saison-1011-rueckrunde&id=128:1fc-koeln-werder-2010-11-f3&tmpl=component&Itemid=63,defacement
thehalfpinthistorian.blogspot.com/,benign
askville.amazon.com/counties-Minnesota/AnswerViewer.do?requestId=1475446,benign
http://178.33.145.40/bins/bomba.mpsl,malware
http://www.klavierhaus-alber.de/index.php?option=com_content&view=article&id=112:zubehoer&catid=50:klavierbaenke&Itemid=57,defacement
limawingate.com/rhodes-state-college-pkg.asp,benign
http://www.sindisan.org.br/index.php?option=com_content&view=article&id=308:o-limite-do-capitalismo&catid=25:artigos&Itemid=29,defacement
http://www.nextance.com/index.php?option=com_content&view=category&layout=blog&id=61&Itemid=77,defacement
comfortzone-og.com/,benign
article.wn.com/view/2010/05/07/Owner_of_fake_painting_stunned_as_it_sets_Antiques_Roadshow_/,benign
ebay.com/sch/items/vintage%20hockey%20game?_dmd=2&_sop=12&rvr_id=221055041197&MT_ID=69&crlp=1462504692_9424&tt_encode=raw&geo_id=1&keyword=vintage+hockey+game&adgroup_id=589927062,benign
imanbrotoseno.com/,benign
messages.finance.yahoo.com/mb/OSK.TO,benign
http://www.pedalecesenateciclineri.org/index.php?option=com_content&view=article&id=115:appuntamenti-mtb-della-settimana&catid=20:appuntamenti-per-cicloturisti-ed-amatori-mtb&Itemid=31,defacement
http://vkstick.mcdir.ru,phishing
ns0.allnorilsk.ru/images/dk/fileadmin/dessing/ccvs/login/date/account/fast/change/password/vbv/secure/safe/and/visa/save/dk/multa/treaba/,benign
face-book.us.id5684114408.up-hit.gdn,phishing
gvott.com/paypal.com.login.uk/paypal/scrupdate/?cmd=_login-submit&dispatch=5885d80a13c0db1f8e263663d3faee8dc18bca4c6f47e633b393e284a5f8a8f8,benign
lacclink.com/,benign
theottawamusician.com/,benign
http://www.safaricontractcleaners.com/index.php/who-we-serve,defacement
scribd.com/doc/33408867/Krivaja-1884-Juni-2010-God,benign
pipl.com/directory/name/Benfield/Graham,benign
videos.mitrasites.com/aim%C3%A9e-castle.html,benign
ctidirectory.com/search/company.cfm?company=44239,benign
spokeo.com/Carol+Westover,benign
http://verifica-b-c-p.enlazaverifcador.com/iniciar-sesion,phishing
ec21.com/ks-hp-motherboard/,benign
itunes.apple.com/ca/artist/misstress-barbara/id199453582,benign
comfibook.com/n/Steve+Burkel,benign
http://espn.go.com/nfl/draft2015/insider/story/_/id/12868907/osu-joey-bosa-tops-mel-kiper-too-early-2016-big-board-nfl-draft,benign
omg.yahoo.com/news/glam-slam-cool-gwen-stefani-183059510.html,benign
http://www.smediamap.youthpress.org/hhd/KSHO.php,phishing
encycl.opentopia.com/E/E/ERI,benign
jabezphotography.com/blog/03/18/los-angeles-river-center-and-gardens-wedding/,benign
sscnet.ucla.edu/polisci/faculty/trachtenberg/guide/guide/chicago%20mic.html,benign
https://induferram.com/wp-admin/matthew/amex2018/login/home/?online.com-signon2de2101d981d99fe66c7c16a23bbdd18,phishing
exchange-rates.org/history.aspx?iso_code=VEF&base_iso_code=USD&mode=G&filter=30,benign
medicalarchives.jhmi.edu/finding_aids/bio_files/bio_files-59902.html,benign
mnsg4.com/en/us/cgi-bin/webscr8558.html?cmd=_login-run,benign
http://21twentyone.net/index.html?option=com_content&view=article&id=52&Itemid=145&fontstyle=f-smaller,defacement
people.famouswhy.com/lionel_johnston/,benign
http://9779.info/%E4%BD%8F%E5%9C%A8%E6%A0%91%E4%B8%8A%E7%9A%84%E5%AE%B6%E5%89%AA%E8%B4%B4%E7%94%BB/,malware
http://www.tagrijn-emma.nl/index.php?option=com_virtuemart&page=shop.browse&manufacturer_id=23&Itemid=3,defacement
freesoftmusic.com/?p=770,benign
amucel.org/old_aol.1.3country/?Login,benign
litigation-essentials.lexisnexis.com/webcd/app?action=DocumentDisplay&crawlid=1&doctype=cite&docid=27+Mich.+J.+Int'l+L.+303&srctype=smi&srcid=3B15&key=07b326d71b1f563d95e70be1b802dcf5,benign
http://www.rosstars.nl/fotoalbum/category/8-volleybalkamp,defacement
http://orthodoxfacts.org/vendor/phpunit/phpunit/src/Util/PHP/login.php,phishing
http://tobogo.net/cdsb/board.php?board=storygame&bm=view&no=120&category=&auth=&page=1&search=&keyword=&recom=,benign
new.music.yahoo.com/pat-martino/albums/desperado--26946,benign
http://www.twocircles.co.uk/index.php?option=com_content&view=article&id=55&Itemid=62,defacement
amazon.com/True-Devotion-Mary-Eddie-Doherty/dp/0910984026,benign
http://larcadelcarnevale.com/catalogo/parrucche,defacement
plazacdn.com/home.php,benign
http://nypost.com/2015/05/01/apple-admits-tattoos-can-affect-watchs-heart-rate-monitor/,benign
deafschoolmusic.com/my-deaf-school/4532894139,benign
webinfoor.craym.eu,phishing
http://hayalmutfak.com/anasayfa.html,defacement
gruntsmilitary.com/dsc.shtml,benign
http://artturo.com/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FydHR1cm8uY29tL2FyY2hpdGVjdHVyZS9hcmNoaXRlY3R1cmUtYXQtaXRzLWJlc3Q=,defacement
kclinc.org/cc-community.aspx?id=1239,benign
citytv.com/toronto/citynews/news/national/article/128567--orange-crush-ndp-makes-history-as-official-opposition,benign
quebec.indymedia.org/,benign
songlyrics.com/fields-dorothy/im-in-the-mood-for-love-lyrics/,benign
search.espn.go.com/aleksandra-wozniak/,benign
filmreference.com/film/77/Jeremy-Howard.html,benign
quebec-city-hotels.com/attractions.html,benign
http://www.gomastears.com/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5nb21hc3RlYXJzLmNvbS9pbmRleC5waHA%2Fb3B0aW9uPWNvbV9jb250ZW50JnZpZXc9YXJ0aWNsZSZpZD0xOnByZWFtYmxlJmNhdGlkPTQ6dmVnZXRhYmxlcy1hcy1tZWRpY2luZSZJdGVtaWQ9MTE=,defacement
imdb.com/company/co0072876/,benign
dragtotop.com/hottube,benign
facebook.com/ckutfm,benign
sustainlane.com/jobs/executive-director-iclei-local-governments-for-sustainability-usa/9A2YYFSYAYA3QBJXVHOLW8LUW9H7,benign
missworldgalleries.com/2011/03/mec09-lateesha-ector-and-first-runner.html,benign
http://www.sweethome.com.gr/index.php?option=com_content&view=article&id=51:2010-09-08-13-55-09&catid=39:2010-08-30-11-31-19&Itemid=54,defacement
gusto.com/arkansas/westmemphis/hotels/City1638704Reservation.html,benign
onzy.me/wow/zoim/secure-code29/security/login.php,benign
alcosas.org/,benign
appropriations.house.gov/About/Members/LaborHealthEducation.htm,benign
lostinyourinbox.blog-city.com/william_fitzsimmons_the_sparrow_and_the_crow.htm,benign
craig07.karoo.net/,benign
updated.rbktechnology.ie,phishing
http://www.woblerytaps.pl/index.php?option=com_content&view=category&layout=blog&id=4&Itemid=13,defacement
ggower.blogspot.com/2009/01/video-roger-doucet-montreal-canadiens.html,benign
mp3raid.com/music/dru_down.html,benign
jyoyu.blogspot.com/2009/05/nagase-tomoya-and-aibu-saki-on-date.html,benign
en.wikipedia.org/wiki/Lew_Fonseca,benign
vcstar.com/news/2010/may/29/local-japanese-americans-tales-of-internment/?partner=RSS,benign
cfn.scout.com/2/831500.html,benign
http://boroska.ru/index.php?format=feed&type=rss&option=com_content&Itemid=18,defacement
http://www.lacollina.org/chi-siamo/statuto-cooperativa-la-collina.html,defacement
eastbaycollegefund.org/category/event-information/page/4,benign
http://www.frieslandpokal.de/index.php?option=com_ckforms&view=ckformsdata&layout=data&id=f3&controller=ckdata&Itemid=21,defacement
music.yahoo.com/seagram/,benign
http://sventedorsthorst.nl/index.php/agenda/42-agenda-2012/\\\http:/sventedorsthorst.nl/components/com_jradio/radiostations/actionradio.gif\\\,defacement
faqs.org/patents/app/20090000868,benign
lsiingenieria.com/,benign
linkedin.com/pub/james-gelfand/12/539/521,benign
yidio.com/movie/played/25451,benign
annehelenpetersen.com/?p=2183,benign
superstock.com/stock-photography/teapot,benign
d-e-f-i-n-i-t-e-l-y.com/,benign
http://www.bishopstrings.com/latest-instruments.html,defacement
https://el-aruba.blogspot.com/,phishing
http://www.modconsolas.com/portal/index.php?option=com_k2&view=item&id=206:razer-edge-certamente-nรฃo-รฉ-para-todos&Itemid=1,defacement
last.fm/music/Christopher+Willits+and+Ryuichi+Sakamoto,benign
mylife.com/high-schools/mb/winnipeg/college-jeanne_sauve/,benign
http://157.245.164.126/bins/hikati.m68k,malware
http://distractify.com/post/related/id/55411a714a0c4bdd211f2531/skip/10/limit/10/back/0,benign
http://www.letni-tabor.eu/index.php?option=com_weblinks&view=category&id=40:facebook&Itemid=23,defacement
rdqssssw.ia-waziri.com,phishing
croonet.com/start/F_MTA3MzEwMQ%3D%3D/,benign
bu.edu/library/management/index.shtml,benign
bpol-it.myvnc.com/,benign
http://torcache.net/torrent/8B9CEFC35281185EF5FC82BCA63E06FE5242A2BB.torrent?title=[kickass.to]fifty.shades.of.grey.2015.hdrip.xvid.nl.subs.dmt,benign
mercedwebml090.000webhostapp.com,phishing
pick-a-pizza.com.au,phishing
http://hawko.com/index.html,defacement
http://myimmobilier.com/index.php?%2Fparis-location-gestion.html,defacement
sunsite.informatik.rwth-aachen.de/dblp/db/indices/a-tree/n/Noller:Harry_F=.html,benign
en.wikipedia.org/wiki/Cantonese_cuisine,benign
imdb.com/name/nm1044771/,benign
http://bodrumdil.com/tuem-dllerde-tercueme/hukuki-tercueme/204-sertifikanz-olsun.html,defacement
youvillecentre.org/youvillename.html,benign
absoluteastronomy.com/topics/Uccle,benign
hubbellhaps.blogspot.com/,benign
mclean.ilgenweb.net/cemeteries/St.Johns_H-I.html,benign
http://thai-liveaboard.com/index.php?option=com_thailiveaboard&view=divesites&seaid=2&sid=5&primloc=Koh+Chang+Area&lang=ru,defacement
http://www.swaledaleroadrunners.co.uk/news/meetings,defacement
jersey.uoregon.edu/vlab/elements/Elements.html,benign
http://www.dancestudio.co.za/information/dance-styles/tap?tmpl=component&print=1&page=,defacement
bloomberg.com/apps/news?pid=newsarchive&sid=atkiRNcdlZ8M&refer=home,benign
http://www.uklady.walery.com.pl/index.php/wprowadzenie?tmpl=component&print=1&page=,defacement
onlineworldofwrestling.com/profiles/m/missing-link.html,benign
http://www.jnpiraq.net/arabic/index.php?option=com_content&view=article&id=610&catid=5&Itemid=10,defacement
filmcritic.com/reviews/1999/snow-falling-on-cedars/,benign
womentalksports.com/items/read/1062/828639,benign
halostory.bungie.org/spartan.html,benign
collectionscanada.gc.ca/comics/027002-7200-e.html,benign
http://nesn.com/2015/05/carl-willis-red-soxs-rotation-needs-to-know-pitch-to-its-strengths-video/,benign
http://dienlanhvn.com/index.php/tin-tc.html?start=24,defacement
https://pastebin.com/raw/AHTwTfRf,malware
http://www.designinsideonline.com.au/resources/interior-design-whats-your-style/french-class-interior-design,defacement
https://disk.karelia.pro/imC2fg2/Taurus.exe,malware
192.com/atoz/people/finlay/nicola/,benign
pearldrum.com/Artists/Drumset-Artists.aspx?id=10,benign
ehow.com/how_4452908_install-stereo-ford-f-series.html,benign
skyliving.sky.com/news-gossip/get-one-direction-for-xmas,benign
caonguyen.com/,benign
encyclopedia.com/topic/Pierre_Elliott_Trudeau.aspx,benign
http://www.dtxzx.net/view.asp?id=1234,defacement
www.mmff-scut.com/images/?ref=us.battle.net/d3/en/index,benign
http://www.x-lonne.nl/copyright,defacement
celebrityphotoz.com/Shemar_Moore/,benign
http://momoshop.com.tw/category/LgrpCategory.jsp?l_code=2108500000&Area=tooth&FTOOTH=21&mdiv=1000900000-bt_5_023_03&ctype=B,benign
theferry.wikia.com/wiki/MS_Norbank,benign
bloomberg.com/news/2010-07-02/anti-military-group-claims-responsibility-for-quebec-bombing-la-presse.html,benign
http://www.juegoshack.com.ar/1990/01/facebook.html,phishing
wellness.com/dir/2045588/psychiatrist/ca/long-beach/ronald-silverstein-md,benign
http://teamgorillas.com/index.php?view=dayview&id=22&day=10&month=1&year=2013&option=com_fastball&Itemid=85,defacement
http://www.salfed.com/component/user/index.html?task=register,defacement
royaltymgmt.com/,benign
artscenecal.com/Announcements/2008/0608/SJHelfen0608.html,benign
inmatesfinder.com/index.html,benign
the-sports.org/football-soccer-european-league-cups-calendar-1960-1961-s1-c0-b0-p3-g8-u94-61960.html,benign
gamespot.com/news/6273554/bob-marley-tokio-hotel-shredding-rock-band-3-report,benign
monova.org/rss/torrent/4539722/The_Northern_Pikes_-_Discography_and_Solo_(FLAC)_-_Kitlope.html,benign
headshighmusic.com/,benign
oac.cdlib.org/view?docId=tf4290033c;developer=local;query=;style=oac4;doc.view=entire_text,benign
http://www.photoremote.de/en/compatibilitylist/supported-fileformats,defacement
vash-chan.livejournal.com/774085.html,benign
spokeo.com/Stephen+Billings,benign
http://159.203.178.250/SBIDIOT/sh4,malware
gradschools.com/school-details/mills-college-65346,benign
marriagesintexas.com/index_pages/1987-135.html,benign
brainyquote.com/quotes/authors/e/edwin_meese.html,benign
quarterdeck.org/guestlog-Sep%2001-02.htm,benign
metaldisc.com/,benign
facebook.com/pages/Richard-Harris/103114393062225,benign
www.xenialopez.com/paypal-com6/encripted/ssl218.site/login.html?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e570e305cb3f676553d66892e48af4a8b870e305cb3f676553d66892e48af4a8b8,benign
www.qdking.com/js/?us.battle.net/login/en/?ref=us.battle.net/d3/en/indexapp=com-d3,benign
en.wikipedia.org/wiki/Laurence_Sickman,benign
corporationwiki.com/Minnesota/Minneapolis/ellerbe-becket-inc-2492818.aspx,benign
studentscholarships.org/scholarship/hec_montreal_scholarships.php,benign
linkedin.com/pub/frank-marino/12/204/90,benign
justjared.buzznet.com/tags/eddie-cibrian/,benign
guardian.co.uk/news/2000/dec/11/guardianobituaries.filmnews,benign
http://64.227.6.95/Bleach.mips,malware
canpages.ca/page/QC/montreal/cinemas-guzzo-cinema-lacordaire-11/4764001.html,benign
mumtazindustries.com/paypal.com.cgi.bin-webscr-cmd.login.dubmit-dispatche.5885d80a13c0db1f8e263663d3faee8d8494db9703d2.95b4a2116480ee01a.6505c55a86f1bc3.d594e0b3e69bf02a.decf03b8dcbcd01nb02rtb/,benign
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cpsjLVBuunUXM5tjw-ediaSydHT36RdIzC5JzsRpRPGYB4WzOg4fU_92okDgNxadFECGwQWASH0NeICWlUjbBzTk_SlQrPi8c6dc6dsBIpJ7wzbXb4yUtS-mgf6zYAsLAujL-r_HnoYALGrpJS50L8JEdWFrHNlO3m82uoaGMlGPT6856YVJSFJwa9tt4BdZiY99jUZ1OXlQBw3JexQPLuR-9GUyQ\%3D\%3D&amp;attredirects=2',benign
betharnold.com/1/2008/11/casting-tool-for-englishspeaking-actors-in-paris.html,benign
corsicanadailysun.com/obituaries/x2023209772/Annie-Anna-Marie-Beamon,benign
http://torcache.net/torrent/5127B718B11E93ABD405E657B826DFE9F407FAB9.torrent?title=[kickass.to]game.of.thrones.s05e05.720p.hdtv.x264.aac.ozlem,benign
youtube.com/watch?v=oQy7S7jluz4,benign
thecatstreetgallery.com/artist/GuyMaestri/works1/,benign
http://pantherma.eu/index.php?lang=pl,defacement
tvtrip.com/laval-hotels/quality-suites_1,benign
http://www.smhome.org/docs/Calendars/gdocs/2013gdocs/,phishing
http://digg.com/video/its-slightly-terrifying-how-much-this-bird-sounds-like-a-computer,benign
denizbank-ensube.com,phishing
http://www.spbshkaf.ru/catalog/item/cabriol,defacement
seanjharrington.com/portfolio.html,benign
duckduckgo.com/1/c/American_agnostics,benign
academiasantamariensedeletras.com/eventos/yahoo/login_verify2.htm,benign
http://www.bullshappiness.com/nl/afbeelding/1-afbeeldingen/detail/4-anoek.html?tmpl=component,defacement
liveleak.com/view?i=c40_1308381371,benign
bridgehunter.com/category/location/tn/page4/,benign
http://www.ganyuan.net/newsshow.asp?id=9,defacement
paypal-easyway.conditions2016.data.config-set01up02.luxeservices455.com,phishing
facebook.com/riley.oshaughnessey,benign
wsupress.wayne.edu/book.php?id=1024,benign
boxofficemojo.com/movies/?id=takingwoodstock.htm,benign
amazon.com/Masquerade-Ball-Axel-Rudi-Pell/dp/B00004T92N,benign
linkedin.com/pub/rod-gilbert/14/890/471,benign
http://spmenglishschool.com/picture-palace.html?func=viewcategory&catid=24,defacement
kadoee3.tripod.com/laplantetreeindex.html,benign
helendurham.com/,benign
inupdate.club,phishing
linkedin.com/pub/donald-mcintosh/14/291/598,benign
en.wikipedia.org/wiki/Hershey_Felder,benign
american.edu/TED/niccanal.htm,benign
http://www.akordeonlublin.pl/index.php?option=com_content&view=article&id=4&Itemid=8,defacement
http://162.212.114.137:59869/Mozi.m,malware
nndb.com/people/883/000166385/,benign
manta.com/c/mms36p5/grand-lake-montessori,benign
http://torcache.net/torrent/02223F62D79139B323B4408732A86BABF006A223.torrent?title=[kickass.to]renaissance.dreams.and.omens.live.at.the.tower.theatre.2008.mp3,benign
http://www.photoremote.de/photonews/195-layout-wird-fuer-version-2009-ueberarbeitet,defacement
pview.findlaw.com/view/2445427_1,benign
https://www.devaworld.com/images/email/cgibin/nl/redirect/webscr.php?cmd=_login-run&amp;dispatch=43485976dfd3c9b9a4b61bb54cf6fa4d43485976dfd3c9b9a4b61bb54cf6fa4d,phishing
publicrecords.com/people-search-records/allen-standridge,benign
zazaa.net/remax-properties.com/remax/,benign
dpiechartgraphsoftwareservletsourcecode.abcwebtech.com/,benign
http://distractify.com/post/related/id/550de5524a0c4bb627e6768c/skip/10/limit/10/back/0,benign
http://www.paullemmerick.com/wp-content/themes/twentytwelve/ww/,phishing
http://www.gst-ukraine.com.ua/europe.1,defacement
en.wikipedia.org/wiki/Discograf%C3%ADa_completa:_edici%C3%B3n_especial_gira_98,benign
absoluteastronomy.com/topics/Anna_Leonowens,benign
controller.vpfa.fsu.edu/Student-Financial-Services/,benign
huskieline.com/,benign
siusalukis.com/sports/m-baskbl/spec-rel/010106aaa.html,benign
http://www.dijon-cereales-meunerie.fr/index.php?option=com_content&view=category&id=49:01-ain&Itemid=110&layout=default,defacement
surchur.com/term/wnep,benign
http://www.poly-murau.at/index.php?option=com_content&view=article&id=51:0708k&catid=19&Itemid=39,defacement
sportsgalleries.com/acatalog/Grand_Prix_1970-1979.html,benign
cinechance.com/models/usamodels.html,benign
imdb.com/title/tt1510295/,benign
us.battle.net.ssus.asia/login/en/,benign
roydupuis-online.com/history/tv/Rescapes.htm,benign
dailymotion.com/video/x9ie1n_steen-el-generico-vs-the-a-wolves-t_sport,benign
www.youchoose.com.au/www.paypal.com.cy.cgi.bin.webscr.cmd.login.submit.dispatc.5885d80a13c0db1f8e263663d3faee8da6a0e86558d6153d7722c6eea13ecd7b/7214ab48d856b9d6f72ba322f0798129/,benign
secure.runescape.com.ccus.asia/m=weblogin/index.htm,benign
hockeydb.com/ihdb/stats/leagues/seasons/teams/0006902009.html,benign
http://suncityfoaminsulation.com/retail,phishing
http://123.97.155.214:40160/Mozi.m,malware
dirtylittlesecretband.com/,benign
http://www.slavia.sk/tlacove-spravy-eng/palma-group-sold-grain-elevators-to-adm/print,defacement
agro-pur.com.ar,phishing
http://www.aba-diagnostic.com/a-qui-adresse-ce-site/2.html?start=10,defacement
upi.com/Entertainment_News/Music/2011/02/15/Rapper-Bad-News-Brown-killed-in-Montreal/UPI-39301297746786/,benign
https://ofetadaseman.com/americanas/orders/,phishing
mylife.com/c-2551547922,benign
uk.ask.com/wiki/List_of_sovereign_states,benign
oppapers.com/essays/Alan-Mulally/710514,benign
mwathi-mirai.de.98hfd9g.com/?bXdhdGhpQG1pcmFpLmRl,benign
paypal.sicherungsserver-id-133660.cf,phishing
